store_id,client_id,store_number,region,active_flag
S0001,C001,2000,Northeast,TRUE
S0002,C001,2001,Northeast,TRUE
S0003,C001,2002,Northeast,TRUE
S0004,C001,2003,Southeast,TRUE
S0005,C001,2004,Southeast,TRUE
S0006,C001,2005,Southeast,TRUE
S0007,C001,2006,Midwest,TRUE
S0008,C001,2007,Midwest,TRUE
S0009,C001,2008,Midwest,TRUE
S0010,C001,2009,Southwest,TRUE
S0011,C001,2010,Southwest,TRUE
S0012,C001,2011,Southwest,TRUE
S0013,C002,2000,Southeast,TRUE
S0014,C002,2001,Southeast,TRUE
S0015,C002,2002,Southeast,TRUE
S0016,C002,2003,Midwest,TRUE
S0017,C002,2004,Midwest,TRUE
S0018,C002,2005,Midwest,TRUE
S0019,C002,2006,Southwest,TRUE
S0020,C002,2007,Southwest,TRUE
S0021,C002,2008,Southwest,TRUE
S0022,C002,2009,West,TRUE
S0023,C002,2010,West,TRUE
S0024,C002,2011,West,TRUE
S0025,C003,2000,Midwest,TRUE
S0026,C003,2001,Midwest,TRUE
S0027,C003,2002,Midwest,TRUE
S0028,C003,2003,Southwest,TRUE
S0029,C003,2004,Southwest,TRUE
S0030,C003,2005,Southwest,TRUE
S0031,C003,2006,West,TRUE
S0032,C003,2007,West,TRUE
S0033,C003,2008,West,TRUE
S0034,C003,2009,Northeast,TRUE
S0035,C003,2010,Northeast,TRUE
S0036,C003,2011,Northeast,TRUE
S0037,C004,2000,Southwest,TRUE
S0038,C004,2001,Southwest,TRUE
S0039,C004,2002,Southwest,TRUE
S0040,C004,2003,West,TRUE
S0041,C004,2004,West,TRUE
S0042,C004,2005,West,TRUE
S0043,C004,2006,Northeast,TRUE
S0044,C004,2007,Northeast,TRUE
S0045,C004,2008,Northeast,TRUE
S0046,C004,2009,Southeast,TRUE
S0047,C004,2010,Southeast,TRUE
S0048,C004,2011,Southeast,TRUE
S0049,C005,2000,West,TRUE
S0050,C005,2001,West,TRUE
S0051,C005,2002,West,TRUE
S0052,C005,2003,Northeast,TRUE
S0053,C005,2004,Northeast,TRUE
S0054,C005,2005,Northeast,TRUE
S0055,C005,2006,Southeast,TRUE
S0056,C005,2007,Southeast,TRUE
S0057,C005,2008,Southeast,TRUE
S0058,C005,2009,Midwest,TRUE
S0059,C005,2010,Midwest,TRUE
S0060,C005,2011,Midwest,TRUE
S0061,C006,2000,Northeast,TRUE
S0062,C006,2001,Northeast,TRUE
S0063,C006,2002,Northeast,TRUE
S0064,C006,2003,Southeast,TRUE
S0065,C006,2004,Southeast,TRUE
S0066,C006,2005,Southeast,TRUE
S0067,C006,2006,Midwest,TRUE
S0068,C006,2007,Midwest,TRUE
S0069,C006,2008,Midwest,TRUE
S0070,C006,2009,Southwest,TRUE
S0071,C006,2010,Southwest,TRUE
S0072,C006,2011,Southwest,TRUE
S0073,C007,2000,Southeast,TRUE
S0074,C007,2001,Southeast,TRUE
S0075,C007,2002,Southeast,TRUE
S0076,C007,2003,Midwest,TRUE
S0077,C007,2004,Midwest,TRUE
S0078,C007,2005,Midwest,TRUE
S0079,C007,2006,Southwest,TRUE
S0080,C007,2007,Southwest,TRUE
S0081,C007,2008,Southwest,TRUE
S0082,C007,2009,West,TRUE
S0083,C007,2010,West,TRUE
S0084,C007,2011,West,TRUE
S0085,C008,2000,Midwest,TRUE
S0086,C008,2001,Midwest,TRUE
S0087,C008,2002,Midwest,TRUE
S0088,C008,2003,Southwest,TRUE
S0089,C008,2004,Southwest,TRUE
S0090,C008,2005,Southwest,TRUE
S0091,C008,2006,West,TRUE
S0092,C008,2007,West,TRUE
S0093,C008,2008,West,TRUE
S0094,C008,2009,Northeast,TRUE
S0095,C008,2010,Northeast,TRUE
S0096,C008,2011,Northeast,TRUE
