technician_id,technician_name,home_region,active_flag
T0001,Technician 001,Northeast,TRUE
T0002,Technician 002,Northeast,TRUE
T0003,Technician 003,Northeast,TRUE
T0004,Technician 004,Northeast,TRUE
T0005,Technician 005,Northeast,TRUE
T0006,Technician 006,Northeast,TRUE
T0007,Technician 007,Northeast,TRUE
T0008,Technician 008,Northeast,FALSE
T0009,Technician 009,Southeast,TRUE
T0010,Technician 010,Southeast,TRUE
T0011,Technician 011,Southeast,TRUE
T0012,Technician 012,Southeast,TRUE
T0013,Technician 013,Southeast,TRUE
T0014,Technician 014,Southeast,TRUE
T0015,Technician 015,Southeast,TRUE
T0016,Technician 016,Southeast,FALSE
T0017,Technician 017,Midwest,TRUE
T0018,Technician 018,Midwest,TRUE
T0019,Technician 019,Midwest,TRUE
T0020,Technician 020,Midwest,TRUE
T0021,Technician 021,Midwest,TRUE
T0022,Technician 022,Midwest,TRUE
T0023,Technician 023,Midwest,TRUE
T0024,Technician 024,Midwest,FALSE
T0025,Technician 025,Southwest,TRUE
T0026,Technician 026,Southwest,TRUE
T0027,Technician 027,Southwest,TRUE
T0028,Technician 028,Southwest,TRUE
T0029,Technician 029,Southwest,TRUE
T0030,Technician 030,Southwest,TRUE
T0031,Technician 031,Southwest,TRUE
T0032,Technician 032,Southwest,FALSE
T0033,Technician 033,West,TRUE
T0034,Technician 034,West,TRUE
T0035,Technician 035,West,TRUE
T0036,Technician 036,West,TRUE
T0037,Technician 037,West,TRUE
T0038,Technician 038,West,TRUE
T0039,Technician 039,West,TRUE
T0040,Technician 040,West,FALSE
